id,L,area,cx,cy
2,76.75204467773438,1184,263.2331081081081,978.9434121621622
7,70.8584976196289,541,453.3271719038817,650.7449168207024
9,66.5932388305664,1356,390.67699115044246,838.0722713864307
11,65.95741271972656,1209,929.4631927212572,617.3457402812242
12,68.52056884765625,1139,969.2300263388938,745.2221246707638
20,73.13999938964844,629,493.5786963434022,853.5262321144675
24,63.55230712890625,1195,662.8635983263598,610.5456066945607
29,70.30075073242188,592,774.4949324324324,991.3462837837837
30,63.86687088012695,891,685.4500561167227,640.7968574635241
33,67.41217041015625,844,638.7345971563981,1020.6090047393365
34,65.39283752441406,1113,539.806828391734,602.1015274034143
36,66.42515563964844,1136,504.7975352112676,1101.9225352112676
37,62.57416915893555,1020,593.2107843137255,660.9156862745098
38,68.58001708984375,644,578.7639751552795,875.6475155279503
41,66.07576751708984,984,583.2693089430894,516.685975609756
42,66.22634887695312,565,289.4938053097345,956.6176991150443
44,63.36000442504883,1017,496.89970501474926,605.2969518190757
45,62.47765350341797,895,354.0927374301676,771.7296089385475
48,58.59162521362305,767,643.3598435462842,788.4250325945242
49,66.92951965332031,1119,383.218945487042,909.982126899017
51,71.986572265625,436,836.6123853211009,995.0940366972477
54,67.79521942138672,585,877.6837606837607,462.7401709401709
55,66.9272689819336,688,630.5944767441861,636.0930232558139
57,63.460960388183594,1220,536.4508196721312,687.4524590163934
58,61.22650909423828,747,664.6961178045516,968.7001338688086
59,67.19927215576172,952,384.9863445378151,617.8960084033613
60,59.5251350402832,1055,423.72701421800946,808.2028436018958
61,66.3097915649414,850,539.8341176470589,730.6117647058824
64,63.94119644165039,993,560.7371601208459,554.404833836858
65,67.2325210571289,893,954.5901455767078,926.6618141097424
66,65.5770034790039,718,632.1573816155989,748.0181058495822
67,65.2054443359375,706,801.2648725212465,841.3541076487252
69,63.07345962524414,976,535.7223360655738,916.110655737705
70,62.53119659423828,828,883.2125603864735,897.6799516908212
71,64.20467376708984,1031,712.1998060135791,913.2095053346266
72,63.95108413696289,1337,797.1795063575169,699.1062079281975
74,65.74089813232422,510,460.06666666666666,609.5588235294117
76,58.31813049316406,988,285.77834008097165,1095.3350202429149
79,61.46125030517578,741,260.0998650472335,866.0715249662618
81,64.63360595703125,849,482.50058892815076,695.1224970553592
82,69.5489730834961,444,674.0518018018018,509.7567567567568
83,63.88939666748047,1132,428.31272084805653,922.660777385159
84,56.117774963378906,1018,935.4960707269155,704.5677799607073
85,60.71794891357422,1293,935.1160092807424,1025.3364269141532
86,65.70588684082031,730,453.5835616438356,493.26849315068495
87,62.06645584106445,950,407.7736842105263,769.5926315789474
88,65.13028717041016,579,738.0,1005.1226252158895
89,57.91073989868164,1291,605.2006196746707,847.7033307513556
90,61.398006439208984,805,469.5739130434783,946.0136645962733
91,64.2608871459961,620,940.6532258064516,574.8016129032258
92,56.12065124511719,464,680.5043103448276,456.48706896551727
93,65.34629821777344,552,472.3967391304348,1073.8713768115942
95,67.22077941894531,641,468.7160686427457,550.5413416536661
96,51.86509323120117,1296,602.4891975308642,716.3742283950618
97,63.43558120727539,1082,781.6173752310536,805.7939001848429
98,66.41975402832031,420,959.6452380952381,612.4833333333333
99,61.06565856933594,700,320.58142857142855,714.4442857142857
101,58.395450592041016,595,381.2890756302521,581.6050420168067
102,61.602691650390625,1094,347.70018281535647,1034.2733089579524
103,59.699005126953125,1152,299.0286458333333,890.9244791666666
104,57.47676086425781,1089,889.9678604224059,950.3213957759413
105,60.17362976074219,657,883.0989345509894,619.3439878234399
106,56.58229064941406,1085,439.4036866359447,462.40552995391704
108,60.01823806762695,761,786.9553219448095,468.7490144546649
